Sale no,Date,Region,Estate,Grade,Price (Rs/kg),Exchange Rate (LKR/USD),Rainfall
1,2024-12-23,WESTERN MEDIUM,Pothotuwa,OPI,3300,289.77,71
1,2024-12-23,WESTERN MEDIUM,Susantha,OP1,3300,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nayapane,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,BOP,1500,289.77,71
1,2024-12-23,WESTERN MEDIUM,Doombagastalawa,BOP,1460,289.77,71
1,2024-12-23,WESTERN MEDIUM,Windsorforest,BOP,1440,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nayapane,BOPSP,1440,289.77,71
1,2024-12-23,WESTERN MEDIUM,Uplands,BOP,1220,289.77,71
1,2024-12-23,WESTERN MEDIUM,Vellai Oya,BOP,1200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Ancoombra,BOPF/BOPFSp,1200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,BOP1,2400,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,BOP1,2200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,BOP1,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,FBOP/FBOPI,2150,289.77,71
1,2024-12-23,WESTERN MEDIUM,Hatale,FBOP/FBOPI,2150,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,FBOP/FBOPI,2050,289.77,71
1,2024-12-23,WESTERN MEDIUM,Ancoombra,FBOPF/FBOPF1,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,OP/OPA,1380,289.77,71
1,2024-12-23,WESTERN MEDIUM,Uplands,OP/OPA,1380,289.77,71
1,2024-12-23,WESTERN MEDIUM,Miriswatta,OP,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nilwala,OP,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Navinda,OP,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Pothotuwa,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Fortune,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dullie Ella,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Susantha,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Lumbini,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Thalapalakanda,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rotumba,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rumassala Hills,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Liyonta,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rotumba,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Etambagahawila,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Adams View,PEK,2550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Galatara,PEK1,2300,289.77,71
1,2024-12-23,UVA MEDIUM,Demodera 'S',OPI,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Demodera 'S',OPI,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Dartry Valley,BOPSp,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Uplands,BOPF/BOPFSp,2200,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1750,289.77,20
1,2024-12-23,UVA MEDIUM,Robgill,BOP,1440,289.77,20
1,2024-12-23,UVA MEDIUM,Dessford,BOP,1480,289.77,20
1,2024-12-23,UVA MEDIUM,Wattegodde,BOP,1480,289.77,20
1,2024-12-23,UVA MEDIUM,Robgill,BOP,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Somerset,OPI,1420,289.77,20
1,2024-12-23,UVA MEDIUM,Alton,OPI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Dessford,PEK/PEKI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Venture,PEK/PEKI,1700,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,OP1,1280,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,PEK/PEKI,1460,289.77,20
1,2024-12-23,UVA MEDIUM,Roseland Uva,FBOP/FBOPI,1850,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,FBOPF/FBOPFI,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Misty-Uva,FBOPF/FBOPFI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Passara,FBOPF/FBOPF1,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Passara,BOPF/BOPFSp,1380,289.77,20
1,2024-12-23,UVA MEDIUM,Shawlands,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Keppetipola,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,WESTERN HIGH,Roseland Uva,BOP1,1850,289.77,44
1,2024-12-23,WESTERN HIGH,Robgill,BOP,1440,289.77,44
1,2024-12-23,WESTERN HIGH,Dessford,BOP,1480,289.77,44
1,2024-12-23,WESTERN HIGH,Wattegodde,BOP,1480,289.77,44
1,2024-12-23,WESTERN HIGH,Robgill,BOP,1550,289.77,44
1,2024-12-23,WESTERN HIGH,Somerset,OPI,1420,289.77,44
1,2024-12-23,WESTERN HIGH,Alton,OPI,1400,289.77,44
1,2024-12-23,WESTERN HIGH,Dessford,PEK/PEKI,1400,289.77,44
1,2024-12-23,WESTERN HIGH,Venture,PEK/PEKI,1700,289.77,44
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1700,289.77,30
1,2024-12-23,UVA HIGH,Bambrakelly,BOP1,1950,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1600,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1300,289.77,30
1,2024-12-23,UVA HIGH,Bambrakelly,BOP1,1280,289.77,30
1,2024-12-23,UVA HIGH,Glenloch,BOP1,1420,289.77,30
1,2024-12-23,UVA HIGH,Venture,BOP1,1420,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOPI,1420,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1500,289.77,30
1,2024-12-23,UVA HIGH,Glenanore,FBOP/FBOPI,1600,289.77,30
1,2024-12-23,UVA HIGH,Uva Highlands,FBOP/FBOPI,1550,289.77,30
1,2024-12-23,UVA HIGH,Uva Highlands,BOP,1380,289.77,30
1,2024-12-23,UVA HIGH,Balagalaella,BOP,1300,289.77,30
1,2024-12-23,UVA HIGH,Craig,BOPSp,1420,289.77,30
1,2024-12-23,UVA HIGH,Uva Highlands,OP/OPA,1280,289.77,30
1,2024-12-23,UVA HIGH,Nayabedde,OPI,1240,289.77,30
1,2024-12-23,UVA HIGH,Uva Highlands,OPI,1650,289.77,30
1,2024-12-23,UVA HIGH,Gonamotawa,OP1,1600,289.77,30
1,2024-12-23,UVA HIGH,Craig,PEK/PEKI,1600,289.77,30
1,2024-12-23,NUWARA ELIYAS,Mahagastotte,BOP,1380,289.77,33
1,2024-12-23,NUWARA ELIYAS,Court Lodge,BOP,1180,289.77,33
1,2024-12-23,NUWARA ELIYAS,Kenmare,BOP,1140,289.77,33
1,2024-12-23,NUWARA ELIYAS,Lovers Leap,BOP,1200,289.77,33
1,2024-12-23,NUWARA ELIYAS,Court Lodge,BOP,1080,289.77,33
1,2024-12-23,NUWARA ELIYAS,Court Lodge,BOP,1020,289.77,33
1,2024-12-23,NUWARA ELIYAS,Lovers Leap,OP/OPA,1180,289.77,33
1,2024-12-23,NUWARA ELIYAS,Court Lodge,OPOPA,1140,289.77,33
1,2024-12-23,NUWARA ELIYAS,Mahagastotte,PEK/PEKI,1360,289.77,33
1,2024-12-23,NUWARA ELIYAS,Court Lodge,PEK/PEKI,1240,289.77,33
1,2024-12-23,NUWARA ELIYAS,Kenmare,PEK/PEK1,1180,289.77,33
1,2024-12-23,UDAPUSSELLAWAS,Luckyland,BOP,1060,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Kirklees,BOP,1060,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Luckyland,BOPSP,1020,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Kirklees,BOPSP,1020,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Mooloya,BOPF/BOPFSp,1260,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Alma,FBOP/FBOPI,1500,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Delmar,FBOP/FBOΡΙ,1480,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Gonapitiya,FBOP/FBOPI,1480,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Blairlomond,FBOP/FBOPI,1420,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Alma,FBOPF/FBOPF1,1420,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Delmar,FBOPF/FBOPFI,1380,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Blairlomond,FBOPF/FBOPF1,1380,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Maha Uva,FBOPF/FBOPF1,1320,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Delmar,OP/OPA,1280,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Blairlomond,OP/OPA,1260,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Delmar,OP1,1420,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Alma,PEK/PEK1,1600,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Blairlomond,PEK/PEKI,1440,289.77,38
1,2024-12-23,UDAPUSSELLAWAS,Maha Uva,PEK/PEKI,1440,289.77,38
1,2024-12-23,LOW GROWNS,Mulatiyana Hills,BOP,2150,289.77,97
1,2024-12-23,LOW GROWNS,Kiruwanaganga,BOP,1800,289.77,97
1,2024-12-23,LOW GROWNS,Kings Bru,BOPSp,1600,289.77,97
1,2024-12-23,LOW GROWNS,Pothotuwa,BOPF,1550,289.77,97
1,2024-12-23,LOW GROWNS,Rajjuruwatta Super,BOPF,1550,289.77,97
1,2024-12-23,LOW GROWNS,Sithaka,BOPF,1550,289.77,97
1,2024-12-23,LOW GROWNS,Kiruwanaganga,BOPF,1440,289.77,97
1,2024-12-23,LOW GROWNS,Rajjuruwatta Super,BOPFSp,2050,289.77,97
1,2024-12-23,LOW GROWNS,Sithaka,FBOP,2650,289.77,97
1,2024-12-23,LOW GROWNS,Hidellana,FBOP,2400,289.77,97
1,2024-12-23,LOW GROWNS,Pothotuwa,FBOP,2350,289.77,97
1,2024-12-23,LOW GROWNS,Kelani,FBOP,2350,289.77,97
1,2024-12-23,LOW GROWNS,Kiruwanaganga,FBOP1,2850,289.77,97
1,2024-12-23,LOW GROWNS,Hidellana,FBOP1,2050,289.77,97
1,2024-12-23,LOW GROWNS,Sithaka,FBOPF,1950,289.77,97
1,2024-12-23,LOW GROWNS,Hidellana,FBOPF,1900,289.77,97
1,2024-12-23,LOW GROWNS,Lumbini,FBOPF1,2000,289.77,97
1,2024-12-23,LOW GROWNS,Kiruwanaganga,BOPIA,1240,289.77,97
2,2025-01-15,WESTERN MEDIUM,Harangalla,BOP,1750,290.74,1
2,2025-01-15,WESTERN MEDIUM,Hatale,BOP,1550,290.74,1
2,2025-01-15,WESTERN MEDIUM,Dartry Valley,BOP,1200,290.74,1
2,2025-01-15,WESTERN MEDIUM,Vellai Oya,BOP,1180,290.74,1
2,2025-01-15,WESTERN MEDIUM,Dolosbage Super,BOP,1550,290.74,1
2,2025-01-15,WESTERN MEDIUM,Harangalla,FBOP/FBOPI,2250,290.74,1
2,2025-01-15,WESTERN MEDIUM,Harangalla,FBOP/FBOPI,2150,290.74,1
2,2025-01-15,WESTERN MEDIUM,Craighead,FBOP/FBOPI,1700,290.74,1
2,2025-01-15,WESTERN MEDIUM,Hatale,FBOP/FBOPI,1400,290.74,1
2,2025-01-15,WESTERN MEDIUM,Ancoombra,FBOPF/FBOPF1,1600,290.74,1
2,2025-01-15,WESTERN MEDIUM,Galgewatta,FBOPF/FBOPF1,1600,290.74,1
2,2025-01-15,WESTERN MEDIUM,Orange Field,FBOPF/FBOPF1,1600,290.74,1
2,2025-01-15,WESTERN MEDIUM,Harangalla,OP1,1650,290.74,1
2,2025-01-15,WESTERN MEDIUM,Craighead,OP1,1600,290.74,1
2,2025-01-15,WESTERN MEDIUM,New Rothschild,OP1,1600,290.74,1
2,2025-01-15,WESTERN MEDIUM,Hatale,OP1,1600,290.74,1
2,2025-01-15,UVA MEDIUM,Halpewatta Uva,BOP,1460,290.74,22
2,2025-01-15,UVA MEDIUM,Halpewatta Uva,BOPSP,1420,290.74,22
2,2025-01-15,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1600,290.74,22
2,2025-01-15,UVA MEDIUM,Roseland Uva,BOPF/BOPFSp,2200,290.74,22
2,2025-01-15,UVA MEDIUM,Roseland Uva,BOP1,1800,290.74,22
2,2025-01-15,UVA MEDIUM,Demodera 'S',FBOPF/FBOPF1,1500,290.74,22
2,2025-01-15,UVA MEDIUM,Tinioya,FBOPF/FBOPFI,1320,290.74,22
2,2025-01-15,UVA MEDIUM,Rathkelle-Uva,FBOPF/FBOPF1,1300,290.74,22
2,2025-01-15,UVA MEDIUM,Aruna Passara,OP/OPA,1300,290.74,22
2,2025-01-15,UVA MEDIUM,Dickwella,OP1,1650,290.74,22
2,2025-01-15,UVA MEDIUM,Ambrosia Uva,OP1,1550,290.74,22
2,2025-01-15,UVA MEDIUM,Glen Alpin,OP1,1550,290.74,22
2,2025-01-15,UVA MEDIUM,Misty-Uva,OP1,1500,290.74,22
2,2025-01-15,UVA MEDIUM,Dickwella,PEK/PEK1,1550,290.74,22
2,2025-01-15,UVA MEDIUM,Sarnia Plaiderie,PEK/PEK1,1550,290.74,22
2,2025-01-15,UVA MEDIUM,Aruna Passara,PEK/PEKI,1550,290.74,22
2,2025-01-15,WESTERN HIGH,Fordyce,BOP,1380,290.74,16
2,2025-01-15,WESTERN HIGH,Dessford,BOP,1320,290.74,16
2,2025-01-15,WESTERN HIGH,Robgill,BOP,1320,290.74,16
2,2025-01-15,WESTERN HIGH,Ingestre,BOP,1320,290.74,16
2,2025-01-15,WESTERN HIGH,Queensberry,BOP,1600,290.74,16
2,2025-01-15,WESTERN HIGH,Robgill,BOPF/BOPFSp,1500,290.74,16
2,2025-01-15,WESTERN HIGH,Tillyrie,BOPF/BOPFSp,1400,290.74,16
2,2025-01-15,WESTERN HIGH,Wattegodde,BOPF/BOPFP,1380,290.74,16
2,2025-01-15,WESTERN HIGH,St. Andrews,BOPF/BOPFSP,1600,290.74,16
2,2025-01-15,WESTERN HIGH,Queensberry,BOPF/BOPFSP,1480,290.74,16
2,2025-01-15,WESTERN HIGH,Bambrakelly,BOPF/BOPFSP,1480,290.74,16
2,2025-01-15,WESTERN HIGH,Bambrakelly,OP/OPA,1380,290.74,16
2,2025-01-15,WESTERN HIGH,St. Andrews,OP/OPA,1300,290.74,16
2,2025-01-15,WESTERN HIGH,Bambrakelly,OP1,1480,290.74,16
2,2025-01-15,WESTERN HIGH,Dessford,PEK/PEK1,1550,290.74,16
2,2025-01-15,WESTERN HIGH,Somerset,OP1,1500,290.74,16
2,2025-01-15,WESTERN HIGH,Annefield,OP1,1420,290.74,16
2,2025-01-15,WESTERN HIGH,Mattakelle,PEK/PEKI,1420,290.74,16
2,2025-01-15,UVA HIGH,Nayabedde,BOP,1100,290.74,3
2,2025-01-15,UVA HIGH,Kelliebedde,BOP,1060,290.74,3
2,2025-01-15,UVA HIGH,Ranaya,BOP,1400,290.74,3
2,2025-01-15,UVA HIGH,Uva Highlands,BOP,1480,290.74,3
2,2025-01-15,UVA HIGH,Uva Highlands,BOPSP,1700,290.74,3
2,2025-01-15,UVA HIGH,Uva Highlands,FBOP/FBOPI,1550,290.74,3
2,2025-01-15,UVA HIGH,Ellathota Uva,FBOP/FBOP1,1500,290.74,3
2,2025-01-15,UVA HIGH,Ranaya,FBOPF/FBOPF1,1500,290.74,3
2,2025-01-15,UVA HIGH,Battawatte,FBOPF/FBOPFI,1500,290.74,3
2,2025-01-15,UVA HIGH,Spring Valley,FBOPF/FBOPFI,1460,290.74,3
2,2025-01-15,UVA HIGH,Craig,FBOPF/FBOPF1,1460,290.74,3
2,2025-01-15,UVA HIGH,Ellathota Uva,FBOPF/FBOPFI,1340,290.74,3
2,2025-01-15,UVA HIGH,Ranaya,OP/OPA,1340,290.74,3
2,2025-01-15,UVA HIGH,Uva Highlands,OP1,1550,290.74,3
2,2025-01-15,UVA HIGH,Ellathota Uva,OP1,1500,290.74,3
2,2025-01-15,UVA HIGH,Craig,PEK/PEKI,1500,290.74,3
2,2025-01-15,UVA HIGH,Balagalaella,PEK/PEKI,1480,290.74,3
2,2025-01-15,UVA HIGH,Ranaya,PEK/PEKI,1550,290.74,3
2,2025-01-15,UVA HIGH,Craig,PEK/PEKI,1550,290.74,3
2,2025-01-15,UVA HIGH,Ellathota Uva,PEK/PEK1,1460,290.74,3
2,2025-01-15,NUWARA ELIYAS,Mahagastotte,BOP,1200,290.74,50
2,2025-01-15,NUWARA ELIYAS,Court Lodge,BOP,1140,290.74,50
2,2025-01-15,NUWARA ELIYAS,Mahagastotte,BOPF/BOPFSp,1200,290.74,50
2,2025-01-15,NUWARA ELIYAS,Lovers Leap,BOPF/BOPFSp,1200,290.74,50
2,2025-01-15,NUWARA ELIYAS,Court Lodge,FBOP/FBOPΙ,1100,290.74,50
2,2025-01-15,NUWARA ELIYAS,Court Lodge,OP/OPA,1160,290.74,50
2,2025-01-15,NUWARA ELIYAS,Kenmare,OP/OPA,1040,290.74,50
2,2025-01-15,NUWARA ELIYAS,Court Lodge,PEK/PEKI,1220,290.74,50
2,2025-01-15,UDAPUSSELLAWAS,Alma,BOP,1600,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Luckyland,BOPSP,980,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Liddesdale,BOPSP,960,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Luckyland,BOPF/BOPFSp,1120,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Kirklees,BOPF/BOPFSp,1120,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Blairlomond,BOPI,1400,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Delmar,FBOP/FBOPI,1460,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Delmar,FBOPF/FBOPFI,1600,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Blairlomond,FBOPF/FBOPF1,1500,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Alma,OP/OPA,1340,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Blairlomond,OP1,1080,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Delmar,OP1,1040,290.74,33
2,2025-01-15,UDAPUSSELLAWAS,Alma,PEK/PEKI,1600,290.74,33
2,2025-01-15,LOW GROWNS,Golden Garden,BOP,1900,290.74,28
2,2025-01-15,LOW GROWNS,Ceciliyan,BOPSP,1600,290.74,28
2,2025-01-15,LOW GROWNS,Hidellana,BOPF,1500,290.74,28
2,2025-01-15,LOW GROWNS,Pothotuwa,BOPF,1480,290.74,28
2,2025-01-15,LOW GROWNS,Andaradeniya Super,BOPFSp,1480,290.74,28
2,2025-01-15,LOW GROWNS,New Spring View,BOPFSp,1480,290.74,28
2,2025-01-15,LOW GROWNS,Sithaka,FBOP,2750,290.74,28
2,2025-01-15,LOW GROWNS,Pothotuwa,FBOP,2550,290.74,28
2,2025-01-15,LOW GROWNS,Hidellana,FBOP,2450,290.74,28
2,2025-01-15,LOW GROWNS,Wattahena,FBOP1,2300,290.74,28
2,2025-01-15,LOW GROWNS,Sithaka,FBOP1,2100,290.74,28
2,2025-01-15,LOW GROWNS,Hidellana,FBOP1,1950,290.74,28
2,2025-01-15,LOW GROWNS,Sithaka,FBOPF,1850,290.74,28
2,2025-01-15,LOW GROWNS,Garden Leaf,FBOPF1,1950,290.74,28
2,2025-01-15,LOW GROWNS,Gunawardena,OP1,3550,290.74,28
2,2025-01-15,LOW GROWNS,Miriswatta,OP,1750,290.74,28
2,2025-01-15,LOW GROWNS,Dullie Ella,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Mulatiyana Hills,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Golden Gardens,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Graceland,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Dampahala,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Rotumba,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Liyonta,OP,1650,290.74,28
2,2025-01-15,LOW GROWNS,Miriswatta,OPA,1900,290.74,28
2,2025-01-15,LOW GROWNS,Pothotuwa,BOPI,3200,290.74,28
2,2025-01-15,LOW GROWNS,Sithaka,BOPI,3200,290.74,28
2,2025-01-15,LOW GROWNS,New Vithanakande,BOPI,3100,290.74,28
2,2025-01-15,LOW GROWNS,Hidellana,BOPI,2900,290.74,28
2,2025-01-15,LOW GROWNS,Liyonta,PEK,2600,290.74,28
2,2025-01-15,LOW GROWNS,Dampahala,PEK1,2350,290.74,28
2,2025-01-15,LOW GROWNS,Galatara,PEK1,2350,290.74,28
2,2025-01-15,UNORTHODOX HIGH,Dunsinane CTC,PF1,1280,290.74,36.53
2,2025-01-15,UNORTHODOX HIGH,Mount Vernon CTC,BPS,710,290.74,36.53
2,2025-01-15,UNORTHODOX MEDIUM,New Peacock CTC,PF1,1200,290.74,36.53
2,2025-01-15,UNORTHODOX MEDIUM,Strathdon CTC,BPI,1080,290.74,36.53
2,2025-01-15,UNORTHODOX MEDIUM,Aultmore CTC,BPS,1000,290.74,36.53
2,2025-01-15,UNORTHODOX MEDIUM,Strathdon CTC,BPS,1000,290.74,36.53
2,2025-01-15,UNORTHODOX LOW,Kalubowitiyana CTC,PF1,1480,290.74,36.53
2,2025-01-15,UNORTHODOX LOW,Ceciliyan CTC,BP1,1240,290.74,36.53
2,2025-01-15,PREMIUM FLOWERY,Parakaduwa Super,FBOPFSp,4150,290.74,36.53
2,2025-01-15,PREMIUM FLOWERY,Nilgiri,FBOPFExSp,4850,290.74,36.53
2,2025-01-15,PREMIUM FLOWERY,Muswenna,FBOPFExSp1,5200,290.74,36.53
2,2025-01-15,PREMIUM FLOWERY,Kamarangapitiya,FBOPFExSp1,4450,290.74,36.53
2,2025-01-15,DUSTS,Annfield,DUST1,1480,290.74,36.53
2,2025-01-15,DUSTS,Kalubowitiyana CTC,PD,1500,290.74,36.53
2,2025-01-15,OFF GRADES,Wanarajah,FGS/FGS1,1200,290.74,36.53
2,2025-01-15,OFF GRADES,Clydesdale,FGS/FGS1,1160,290.74,36.53
2,2025-01-15,OFF GRADES,Liyonta CTC,PFGS,1000,290.74,36.53
2,2025-01-15,OFF GRADES,Chandrika Estate,BM,1040,290.74,36.53
2,2025-01-15,OFF GRADES,Suwishka,BP,1420,290.74,36.53
2,2025-01-15,OFF GRADES,Chandrika Estate,BOPIA,1340,290.74,36.53
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,BOP,1650,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Ancoombra,BOPSP,1400,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Uplands,BOPF/BOPFSp,1380,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Dartry Valley,BOPI,1950,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,BOPSP,1900,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,FBOP/FBOPΙ,2300,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Dartry Valley,FBOP/FBOPI,2200,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,FBOPF/FBOPFI,1900,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Craighead,FBOPF/FROPFI,1700,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Imboolpitiya,FBOPF/FBOPFI,1650,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,OP/OPA,1400,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Craighead,OP1,1900,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Dickwella,PEK/PEKI,1750,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Craighead,PEK/PEKI,1700,292.83,3
3,2025-01-21/22,WESTERN MEDIUM,Harangalla,PEK/PEKI,1700,292.83,3
3,2025-01-21/22,UVA MEDIUM,Shawlands,BOP,1400,292.83,50
3,2025-01-21/22,UVA MEDIUM,Aruna Passara,BOP,1400,292.83,50
3,2025-01-21/22,UVA MEDIUM,Halpewatte Uva,BOP,1400,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,BOPSp,1300,292.83,50
3,2025-01-21/22,UVA MEDIUM,Halpewatte Uva,BOPF/BOPFSp,1300,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1550,292.83,50
3,2025-01-21/22,UVA MEDIUM,Roseland Uva,BOP1,2250,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,FBOP/FBOPI,1850,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,FBOPF/FBOPFI,1850,292.83,50
3,2025-01-21/22,UVA MEDIUM,Sarnia Plaiderie,FBOPF/FBOPFI,1750,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,OP/OPA,1550,292.83,50
3,2025-01-21/22,UVA MEDIUM,Timioya,OP/OPA,1360,292.83,50
3,2025-01-21/22,UVA MEDIUM,Meezan,OP/OPA,1360,292.83,50
3,2025-01-21/22,UVA MEDIUM,Shawlands,OP/OPA,1340,292.83,50
3,2025-01-21/22,UVA MEDIUM,Ury,OP1,1950,292.83,50
3,2025-01-21/22,UVA MEDIUM,Dickwella,PEK/PEKI,1700,292.83,50
3,2025-01-21/22,WESTERN HIGH,Cymru,BOP,1420,292.83,39
3,2025-01-21/22,WESTERN HIGH,Wattegodde,BOP,1420,292.83,39
3,2025-01-21/22,WESTERN HIGH,Bearwell,BOP,1380,292.83,39
3,2025-01-21/22,WESTERN HIGH,Holyrood,BOP,1380,292.83,39
3,2025-01-21/22,WESTERN HIGH,Lethenty,BOP,1380,292.83,39
3,2025-01-21/22,WESTERN HIGH,Bearwell,BOPSp,1500,292.83,39
3,2025-01-21/22,WESTERN HIGH,Somerset,BOPF/BOPFSp,1650,292.83,39
3,2025-01-21/22,WESTERN HIGH,Bogawantalawa,BOPF/BOPFSp,1500,292.83,39
3,2025-01-21/22,WESTERN HIGH,Robgill,BOPF/BOPFSp,1500,292.83,39
3,2025-01-21/22,WESTERN HIGH,Cymru,BOPI,1480,292.83,39
3,2025-01-21/22,WESTERN HIGH,Somerset,FBOP/FBOPI,1600,292.83,39
3,2025-01-21/22,WESTERN HIGH,Glenloch,FBOPF/FBOPFI,1480,292.83,39
3,2025-01-21/22,WESTERN HIGH,St. Andrews,OP/OPA,1280,292.83,39
3,2025-01-21/22,WESTERN HIGH,Inverness,OP/OPA,1280,292.83,39
3,2025-01-21/22,WESTERN HIGH,Queensberry,OP OPA,1260,292.83,39
3,2025-01-21/22,WESTERN HIGH,Cymru,OP/OPA,1260,292.83,39
3,2025-01-21/22,WESTERN HIGH,Inverness,OP1,1650,292.83,39
3,2025-01-21/22,WESTERN HIGH,Great Western,OP1,1500,292.83,39
